pool_identifier,pool_id,pool_name,active_stake,active_pledge,fixed_cost,margin,saturation,lifetime_luck,recent_luck,lifetime_roa,recent_roa
ADA Ape Pool,pool18j287g2sccele52hhxc0csk2ghfghwndqm9yahdqnhjks840wtq,ADA Ape Pool,4130911744865,34344379104,340000000,0.025,0.0538,1.0107602138309362,0.9498245016454027,3.21595600472106,1.309963338873045
Nimuë Lady of the Lake Pool,pool1drv9qkh2tgqqucc0jp8cwswpmmkfzdd898ja7ac0uwm9j5d44tq,Nimuë Lady of the Lake Pool,4143289690484,1053364591725,170000000,0,0.0537,1.0112887830653705,0.9871145407982171,2.6492667178069857,1.89029886035935
We are Grabbers,pool1fmgus36uc0jf0wlspfvzwfn04mz34kwrensmqgfzkv7t58dejw4,We are Grabbers,4104520504994,212322649302,340000000,0.01,0.0534,0.9810824577152336,0.6786848676802204,2.999474975183541,0.9109450624946961
MANTIS POOL,pool12n6lycv28kjtkzecfz2a3uujyxy6ewuwjcmjq84my67psqmgagv,MANTIS POOL,1513034425113,106841118300,340000000,0,0.0533,0.9855664819754637,0.9250526787520073,4.002593161352741,1.02090638062467
Sagittarius Pool,pool1les50pm26wpf8gym7cda470xgfswukzhyykvhyfsfl4dcu2ezj4,Sagittarius Pool,4048567674158,26386333033,340000000,0.03,0.0526,1.0439252844433349,1.0126558045721845,2.895736035483833,1.512024783167825
Centimani Stake Pool,pool1t9m69j5thv2ke9jt9hhsgxlag44z7erp2s2ukcpruwhwqarc9np,Centimani Stake Pool,4036335284610,117605610860,170000000,0.03,0.0525,0.9763992582004442,1.035949383797317,3.24689165989489,1.6684030841187314
eToro Pool 1,pool150n38x8gquu4yt5s0s6m3ajjqe89y68x96dh32tq8a4es2l6dvp,eToro Pool 1,4004387432427,0,340000000,1,0.0521,0.9193271839623934,0.9030820865546836,0,0
ONYX Stake Pool #2,pool1g6g2d09le8hd6nv9jhyavewdnw8tu0ndst4lqysd00ru24cav0a,ONYX Stake Pool #2,4005687054421,250438796004,170000000,0.01,0.0521,0.987100128595423,1.0257497215846048,3.901687979673417,2.337078594726317
Ridge Line Pool,pool1apupv5qtfp2aa2xlrzzjzx0uj686g3n695a329nq8j5jvvzumz0,Ridge Line Pool,3960935381959,11169884816,170000000,0.01,0.0515,1.029574990753004,0.9042622716432398,2.468071850274137,1.7333964132337512
COOL4,pool1w7pt822hfgw30xnkwpjzz0sr5psejksqdcdw4l0ms33lsgynp2e,COOL4,3963334609703,101812316262,170000000,0.015,0.0509,0.9836512722197904,0.8999426561439425,4.138170659131575,1.6616125021929644
CARDANIANS.io #1,pool1a5jd3x2udlvpm9mt4gpau4jlags6qtth6jdsguryh2zy27f5ttj,CARDANIANS.io #1,3910355622370,21121097988,340000000,0.02,0.0502,0.9957985133847225,1.1082249575696115,3.0148570816527536,1.9157443247730734
Luna 9,pool1gdgjzmp96kk0d0sj482655wqlq8jtc4t9xw8xzfwfx4tjyq73hw,Luna 9,3854676095634,251861355971,340000000,0.02,0.0501,1.0169809252661872,1.002969881086979,2.558427863901599,1.590887209700265
Adapolis,pool1jpz5m45ff4r6tnq7n5tw63fkhpmw3cyv8sn569w24x8lj3kl68c,Adapolis,3829194280818,16628937181,170000000,0.01,0.0501,0.9858334220288264,0.9091542073159772,3.505281588530244,1.3724217742358833
HIT Pool,pool1hezakp5r240dy4fcsm7mfd3qqahcvyrhj8hl770yxmxxzdwvcre,HIT Pool,3846292569864,16920044577,340000000,0.9,0.05,0.9438662155767694,1.242744297934607,0.2420508250812844,0.20541309624878518
SPP Stake Pool,pool1y9rdlv5tksudwrx47afjx47grd4tyh24zccffjtp32u0cfpegvk,SPP Stake Pool,3833755458052,617958970,390000000,0.5,0.0498,0.9895805194030765,0.9071417939711992,2.50771179340331,0.6317147267545019
Apex Stake Pool,pool12wpfng6cu7dz38yduaul3ngfm44xhv5xmech68m5fwe4wu77udd,Apex Stake Pool,4695542910463,50900778642,200000000,0.02,0.0493,0.9896647482189942,0.724233602465258,3.0488407884430573,1.2141825580058092
Hedges Stake Pool,pool19q034g07ka2ltwc3wwjeu79w29nlafc0w2ppne5ppu5wud60rgq,Hedges Stake Pool,3893604836430,61360640466,170000000,0,0.0489,0.9375606254038207,1.0626356206469323,2.7862829385340104,2.0647073530493745
Infinity Rising 2,pool1pqm2cev326p2mrruzw9xru65uvt3r7f0rdf5gtx54zdskxqhmur,Infinity Rising 2,3762253074896,14694375968,340000000,0.05,0.0488,0.9686326358326725,1.1072248726321692,0.3519351134292919,1.5269161194153282
Cardano Dan's Stake Pool,pool1nhls8e9swnyshldgjknku4npreax075nw0ltrkmrarh4w3skxt9,Cardano Dan's Stake Pool,3752270730918,101655611058,340000000,0.025,0.0488,0.9857400240516302,0.946523124337669,4.239066357281139,1.3860562740832585
ADA Labo,pool1nffpy6r7l4ueeedzvvzsta2vty9g6mtet6huuhfzyvndkwd35dl,ADA Labo,4298467076935,1356775253,340000000,0.01,0.0486,1.0320981160743692,0.9254100850064105,1.8897585686035276,1.4179966270668567
Don’t underestimate the Force,pool1hqwxta8p0j8ffkyle5mf6yg80tucqzh8q9mszws60xe5ja06nwa,Don’t underestimate the Force,3734423980243,1664133892293,170000000,0,0.0485,0.9090131439897324,0.7992905961955115,2.7841047445579954,1.303207707019695
AIDpool1,pool1peayemzlkmcwn64c455mx8sxdaztq0xuv9hdxlp0kcsxz57up3z,AIDpool1,3744370053630,51192268011,340000000,0.01,0.0485,1.006181260269165,1.3144329034231728,2.12030605796702,2.0088712163334956
