pool_identifier,pool_id,pool_name,active_stake,active_pledge,fixed_cost,margin,saturation,lifetime_luck,recent_luck,lifetime_roa,recent_roa
Virgo,pool1r04czz6aq4qnd8a3x2klzd6g20mrxns0ksrac0z0jn7uycgl7l2,Virgo,0,0,340000000,0.03,0,0,0,0,0
Corehounds Staking Pool,pool1rryu0ckdfzcrxuef98q78fzw25dh3lck8l0u3lq6zpv7x5a6qyd,Corehounds Staking Pool,0,0,350000000,0.05,0,0,0,0,0
pool1p7mhtnmcst29u7ws7d70lhugg4udywmhdgggy4km0dnnga0tymr,pool1p7mhtnmcst29u7ws7d70lhugg4udywmhdgggy4km0dnnga0tymr,,0,0,340000000,0.01,0,0,0,0,0
pool14ym9xrwe8vjl8xfm7xjx3eeg7fdqekkrejhuug732myd66y6qdy,pool14ym9xrwe8vjl8xfm7xjx3eeg7fdqekkrejhuug732myd66y6qdy,,0,0,345000000,0.05,0,0,0,0,0
pool1fn6rz40s843u3fwthk8eaqn6ath3z7wgfrhndskuzmslzxgtv50,pool1fn6rz40s843u3fwthk8eaqn6ath3z7wgfrhndskuzmslzxgtv50,,0,0,340000000,0,0,0,0,0,0
pool1p4s6gafaqd2w2dft5c5j2zj6grudvmpwsyx9gumzunak688x5tj,pool1p4s6gafaqd2w2dft5c5j2zj6grudvmpwsyx9gumzunak688x5tj,,0,0,340000000,0,0,0,0,0,0
pool1eaetnqdddl6pw3my4urw4nlcy004pjpgnt3fpypr36qt2v8c6ck,pool1eaetnqdddl6pw3my4urw4nlcy004pjpgnt3fpypr36qt2v8c6ck,,0,0,340000000,0.03,0,0,0,0,0
pool1a93dsl464yupklfzt0eavrvxqs9ftddx4ehh3teaj9x47kt273f,pool1a93dsl464yupklfzt0eavrvxqs9ftddx4ehh3teaj9x47kt273f,,0,0,340000000,1,0,0,0,0,0
pool12cc8t9yr58xureweksj73v87xkm6svcs8j3xnt93zd5zw5q6ugr,pool12cc8t9yr58xureweksj73v87xkm6svcs8j3xnt93zd5zw5q6ugr,,0,0,340000000,0,0,0.26695689925672245,0,1.2592069629384066,0
pool1kqrsr700m267q9tz4pw4rjeg69nkahk5wuy3kkw479y56fqfy9t,pool1kqrsr700m267q9tz4pw4rjeg69nkahk5wuy3kkw479y56fqfy9t,,0,0,340000000,0.015,0,0,0,0,0
LFG Pool,pool1mayjfth7yz6mpd4hhtcwl974ut8hld8hls2f07rrdul3ypqt9rm,LFG Pool,0,0,340000000,0,0,0,0,0,0
ASAP Pool,pool1jssdknzgsg4fm3v70uvhrtfjtakwpr5q6x0dwc0fcff8wtd05f6,ASAP Pool,0,0,340000000,0.01,0,0,0,0,0
